,combination,count,freq,iteration
200,ant-strong_mut-strong,2,0.083333333,9972
201,ant-strong_mut-weak,4,0.166666667,9972
202,ant-weak_mut-absent,5,0.208333333,9972
203,ant-weak_mut-weak,2,0.083333333,9972
204,ant-absent_mut-absent,3,0.125,9971
205,ant-strong_mut-absent,10,0.416666667,9971
206,ant-strong_mut-strong,1,0.041666667,9971
207,ant-strong_mut-weak,3,0.125,9971
208,ant-weak_mut-absent,5,0.208333333,9971
209,ant-weak_mut-strong,1,0.041666667,9971
210,ant-weak_mut-weak,1,0.041666667,9971
211,ant-absent_mut-absent,3,0.125,9970
212,ant-absent_mut-weak,1,0.041666667,9970
213,ant-strong_mut-absent,10,0.416666667,9970
214,ant-strong_mut-weak,4,0.166666667,9970
215,ant-weak_mut-absent,4,0.166666667,9970
216,ant-weak_mut-strong,2,0.083333333,9970
217,ant-absent_mut-absent,4,0.166666667,9969
218,ant-absent_mut-weak,1,0.041666667,9969
219,ant-strong_mut-absent,10,0.416666667,9969
220,ant-strong_mut-strong,2,0.083333333,9969
221,ant-strong_mut-weak,2,0.083333333,9969
222,ant-weak_mut-absent,3,0.125,9969
223,ant-weak_mut-weak,2,0.083333333,9969
224,ant-absent_mut-absent,2,0.083333333,9968
225,ant-absent_mut-weak,2,0.083333333,9968
226,ant-strong_mut-absent,9,0.375,9968
227,ant-strong_mut-strong,1,0.041666667,9968
228,ant-strong_mut-weak,3,0.125,9968
229,ant-weak_mut-absent,5,0.208333333,9968
230,ant-weak_mut-strong,1,0.041666667,9968
231,ant-weak_mut-weak,1,0.041666667,9968
232,ant-absent_mut-absent,2,0.083333333,9967
233,ant-strong_mut-absent,10,0.416666667,9967
234,ant-strong_mut-strong,1,0.041666667,9967
235,ant-strong_mut-weak,3,0.125,9967
236,ant-weak_mut-absent,5,0.208333333,9967
237,ant-weak_mut-strong,1,0.041666667,9967
238,ant-weak_mut-weak,2,0.083333333,9967
239,ant-absent_mut-absent,2,0.083333333,9966
240,ant-absent_mut-strong,1,0.041666667,9966
241,ant-absent_mut-weak,2,0.083333333,9966
242,ant-strong_mut-absent,10,0.416666667,9966
243,ant-strong_mut-strong,1,0.041666667,9966
244,ant-strong_mut-weak,3,0.125,9966
245,ant-weak_mut-absent,4,0.166666667,9966
246,ant-weak_mut-weak,1,0.041666667,9966
247,ant-absent_mut-absent,3,0.125,9965
248,ant-absent_mut-strong,1,0.041666667,9965
249,ant-strong_mut-absent,11,0.458333333,9965
250,ant-strong_mut-strong,1,0.041666667,9965
