"","deer","wildb","rabbit","rat","fox","badger","ant","mut","class_ant","class_mut","combination","Motif"
"28",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"29",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"30",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"31",0.028,0,0.023738,0,0,0,0.028,0.023738,"weak","weak","ant-weak_mut-weak","Mutualism_Antagonism"
"32",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"33",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"34",0,0.021,0.16874,0.128986,0,0,0.021,0.297726,"weak","strong","ant-weak_mut-strong","StrongW_Mutualism"
"35",0.104,0,0,0,0,0,0.104,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"36",0,0,0.016016,0.049764,0,0.005012,0,0.070792,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"37",0.021,0,0.019734,0,0,0,0.021,0.019734,"weak","weak","ant-weak_mut-weak","Mutualism_Antagonism"
"38",0,0,0.02574,0,0,0,0,0.02574,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"39",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"40",0.208,0,0,0,0,0.078402,0.208,0.078402,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"41",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"42",0,0.028,0.32175,0.016016,0,0,0.028,0.337766,"weak","strong","ant-weak_mut-strong","StrongW_Mutualism"
"43",0,0,0,0.02574,0,0,0,0.02574,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"44",0,0,0.130988,0,0,0,0,0.130988,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"45",0.083,0,0.119262,0.089518,0.002506,0,0.083,0.211286,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"46",0,0,0.008008,0.111254,0,0,0,0.119262,"absent","strong","ant-absent_mut-strong","StrongW_Mutualism"
"47",0,0.007,0,0,0,0,0.007,0,"weak","absent","ant-weak_mut-absent","StrongW_Antagonism"
"48",0.083,0.028,0.008008,0,0,0,0.111,0.008008,"strong","weak","ant-strong_mut-weak","StrongW_Antagonism"
"49",0.118,0,0,0,0,0,0.118,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"50",0.229,0,0,0,0,0,0.229,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"51",8.167,0.042,0,0,0,0.012351,8.209,0.012351,"strong","weak","ant-strong_mut-weak","StrongW_Antagonism"
"52",0,0.153,0,0,0,0,0.153,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"53",0.083,0.173,0,0,0,0,0.256,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"54",0.694,0,0,0,0,0,0.694,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"55",0.056,0.097,0,0,0,0,0.153,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"56",0.028,0.055,0,0,0,0,0.083,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"57",0.188,0.73,0.02002,0,0,0,0.918,0.02002,"strong","weak","ant-strong_mut-weak","StrongW_Antagonism"
"58",0.062,0,0,0,0,0,0.062,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"59",0,0,0,0,0,0.002506,0,0.002506,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"60",1.542,0,0,0,0,0.063366,1.542,0.063366,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"61",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"62",0.237,0,0,0,0,0,0.237,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"63",0.777,0,0,0,0,0,0.777,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"64",7.358,0,0,0,0,0,7.358,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"65",4.518,0,0,0,0,0,4.518,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"66",0,0,0,0,0,0.032399,0,0.032399,"absent","weak","ant-absent_mut-weak","StrongW_Mutualism"
"67",0.382,0.73,0.047762,0.057486,0,0,1.112,0.105248,"strong","strong","ant-strong_mut-strong","Mutualism_Antagonism"
"68",1.251,0,0,0,0,0,1.251,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
"69",0,0,0,0,0,0,0,0,"absent","absent","ant-absent_mut-absent","Absent"
"70",0.063,0,0,0,0,0,0.063,0,"strong","absent","ant-strong_mut-absent","StrongW_Antagonism"
