"","iteration","Absent","Mutualism_Antagonism","StrongW_Antagonism","StrongW_Mutualism"
"759","1680",16,7,29,18
"760","1681",15,3,31,21
"761","1682",18,8,23,21
"762","1683",21,14,20,15
"763","1684",16,10,27,17
"764","1685",11,8,30,21
"765","1686",17,7,25,21
"766","1687",17,11,24,18
"767","1688",16,10,24,20
"768","1689",13,3,29,25
"769","169",14,11,26,19
"770","1690",11,9,26,24
"771","1691",18,9,23,20
"772","1692",17,7,28,18
"773","1693",15,9,28,18
"774","1694",17,9,26,18
"775","1695",16,7,28,19
"776","1696",13,8,25,24
"777","1697",16,12,25,17
"778","1698",17,10,24,19
"779","1699",16,10,24,20
"780","17",16,6,26,22
"781","170",15,12,26,17
"782","1700",18,7,27,18
"783","1701",17,6,27,20
"784","1702",14,10,27,19
"785","1703",15,11,26,18
"786","1704",15,10,26,19
"787","1705",14,8,26,22
"788","1706",10,9,26,25
"789","1707",17,12,23,18
"790","1708",15,10,24,21
"791","1709",13,12,24,21
"792","171",14,7,27,22
"793","1710",13,4,29,24
"794","1711",13,13,25,19
"795","1712",14,12,23,21
"796","1713",14,10,26,20
"797","1714",14,8,26,22
"798","1715",14,8,27,21
"799","1716",20,9,21,20
"800","1717",18,7,25,20
"801","1718",14,10,27,19
"802","1719",17,10,22,21
"803","172",14,9,26,21
"804","1720",13,8,25,24
"805","1721",16,11,27,16
"806","1722",17,9,26,18
"807","1723",15,11,25,19
"808","1724",19,13,24,14
"809","1725",16,6,26,22
"810","1726",18,9,25,18
"811","1727",16,12,26,16
"812","1728",15,10,26,19
"813","1729",15,8,30,17
"814","173",14,8,27,21
"815","1730",14,9,28,19
"816","1731",13,8,26,23
"817","1732",17,14,23,16
"818","1733",17,8,26,19
"819","1734",14,8,26,22
"820","1735",15,9,23,23
"821","1736",13,12,22,23
"822","1737",16,12,24,18
"823","1738",17,13,23,17
"824","1739",15,8,26,21
"825","174",14,11,26,19
"826","1740",15,10,26,19
"827","1741",14,10,25,21
"828","1742",15,10,25,20
"829","1743",14,6,28,22
"830","1744",14,8,26,22
"831","1745",15,9,27,19
"832","1746",16,10,25,19
"833","1747",13,10,26,21
"834","1748",15,10,26,19
"835","1749",16,8,28,18
"836","175",13,11,25,21
"837","1750",13,9,25,23
"838","1751",16,8,28,18
"839","1752",13,9,26,22
"840","1753",16,12,23,19
"841","1754",14,9,24,23
"842","1755",14,6,27,23
"843","1756",10,8,27,25
"844","1757",13,8,32,17
"845","1758",17,4,26,23
"846","1759",12,6,31,21
"847","176",19,13,21,17
"848","1760",13,6,28,23
"849","1761",15,7,28,20
"850","1762",13,7,28,22
"851","1763",14,16,19,21
"852","1764",16,10,24,20
"853","1765",12,6,27,25
"854","1766",21,11,23,15
"855","1767",14,14,22,20
"856","1768",13,10,25,22
"857","1769",15,11,27,17
"858","177",15,11,26,18
"859","1770",12,11,21,26
"860","1771",18,12,22,18
"861","1772",12,9,28,21
"862","1773",14,10,24,22
"863","1774",15,9,27,19
"864","1775",13,6,28,23
"865","1776",16,7,26,21
"866","1777",19,11,24,16
"867","1778",15,8,24,23
"868","1779",15,16,21,18
"869","178",14,8,27,21
"870","1780",17,8,27,18
"871","1781",14,9,28,19
"872","1782",18,13,24,15
"873","1783",17,10,24,19
"874","1784",17,9,24,20
"875","1785",20,11,23,16
"876","1786",14,12,28,16
"877","1787",14,7,26,23
"878","1788",19,9,24,18
"879","1789",13,4,28,25
"880","179",16,9,25,20
"881","1790",19,9,25,17
"882","1791",16,5,27,22
"883","1792",13,6,27,24
"884","1793",15,7,27,21
"885","1794",15,5,28,22
"886","1795",14,14,22,20
"887","1796",14,8,26,22
"888","1797",15,10,24,21
"889","1798",10,9,28,23
"890","1799",10,8,29,23
"891","18",13,8,29,20
"892","180",16,10,22,22
"893","1800",20,9,24,17
"894","1801",16,9,25,20
"895","1802",13,3,32,22
"896","1803",13,11,23,23
"897","1804",16,12,23,19
"898","1805",17,10,24,19
"899","1806",17,10,24,19
"900","1807",17,9,24,20
"901","1808",18,9,24,19
"902","1809",13,8,29,20
"903","181",12,9,24,25
"904","1810",18,6,27,19
"905","1811",15,9,26,20
"906","1812",13,9,27,21
"907","1813",16,9,23,22
"908","1814",15,7,29,19
"909","1815",19,14,20,17
"910","1816",10,7,30,23
"911","1817",16,10,22,22
"912","1818",12,6,28,24
"913","1819",15,14,21,20
"914","182",15,10,25,20
"915","1820",15,8,25,22
"916","1821",14,10,28,18
"917","1822",17,11,26,16
"918","1823",10,6,31,23
"919","1824",18,13,21,18
"920","1825",13,10,25,22
"921","1826",15,7,25,23
"922","1827",18,12,23,17
"923","1828",16,14,22,18
"924","1829",17,11,22,20
"925","183",15,8,27,20
"926","1830",16,11,24,19
"927","1831",13,6,28,23
"928","1832",13,14,24,19
"929","1833",17,12,22,19
"930","1834",17,6,28,19
"931","1835",15,10,26,19
"932","1836",12,9,28,21
"933","1837",14,5,28,23
"934","1838",20,14,19,17
"935","1839",15,10,25,20
"936","184",15,10,26,19
"937","1840",13,9,24,24
"938","1841",14,8,28,20
"939","1842",13,7,28,22
"940","1843",16,8,26,20
"941","1844",14,7,27,22
"942","1845",18,7,28,17
"943","1846",14,12,24,20
"944","1847",17,9,22,22
"945","1848",12,5,28,25
"946","1849",17,10,26,17
"947","185",17,9,27,17
"948","1850",15,8,26,21
"949","1851",16,10,26,18
"950","1852",15,10,26,19
"951","1853",18,6,24,22
"952","1854",17,5,28,20
"953","1855",13,6,28,23
"954","1856",20,12,22,16
"955","1857",16,10,23,21
"956","1858",15,6,27,22
"957","1859",10,8,28,24
"958","186",13,13,23,21
"959","1860",14,8,26,22
"960","1861",14,8,25,23
"961","1862",15,10,23,22
"962","1863",10,10,28,22
"963","1864",16,14,22,18
"964","1865",18,10,24,18
"965","1866",19,8,25,18
"966","1867",15,9,27,19
"967","1868",16,12,22,20
"968","1869",19,10,24,17
"969","187",15,9,25,21
"970","1870",16,9,26,19
"971","1871",15,9,22,24
"972","1872",12,8,28,22
"973","1873",16,12,24,18
"974","1874",14,14,25,17
"975","1875",18,9,24,19
"976","1876",16,11,23,20
"977","1877",16,14,24,16
"978","1878",19,6,24,21
"979","1879",21,10,22,17
"980","188",13,9,27,21
"981","1880",15,9,27,19
"982","1881",16,9,29,16
"983","1882",13,12,25,20
"984","1883",17,7,28,18
"985","1884",9,11,26,24
"986","1885",14,5,31,20
"987","1886",16,6,28,20
"988","1887",16,5,29,20
"989","1888",16,10,27,17
"990","1889",18,9,28,15
"991","189",12,10,26,22
"992","1890",11,7,30,22
"993","1891",16,11,26,17
"994","1892",13,9,25,23
"995","1893",17,11,24,18
"996","1894",19,8,24,19
"997","1895",14,8,24,24
