plant,deer,wildboar,rabbit,rat,fox,badger,combination,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop,inf,size,sincr,fruits,fruit_set,exit_pol,del.area,nn,dens,norm_d,spp_str,spp_spcfty,nsi,eff_part
ER070H,0.75,0,1.63,0,0.11,0,ant-strong_mut-strong,Mutualist-Antagonist,-0.289795538,-0.492974707,-0.050260692,-1.042097082,-0.641684215,-0.392615213,-0.162120131,-0.675017391,Martinazo,30,4.398226,0.648550725,31,930,0,495.235,10.208,2,0.500,1.047,0.651,1.130,2.178
ER071M-H,0.63,0,0,0,0,0,ant-strong_mut-absent,Antagonist,-0.671344523,-0.083474207,0.361179918,-0.910142674,-0.711683312,-0.558408374,-0.656859565,0.158827621,Martinazo,12,6.4088436,0.690217391,42,504,0.162,158.79,4.662,5,0.167,0.020,1.000,1.130,1.000
ER072H,1.32,0,0,0,0,0,ant-strong_mut-absent,Antagonist,1.893512541,0.524823012,0.361179918,-0.562262872,0.757147515,-0.62379675,-0.804228758,0.158827621,Martinazo,133,9.3955386,0.690217391,71,9443,0.435,26.097,3.01,5,0.167,0.043,1.000,1.130,1.000
ER073H,8.26,0,0,0,0,0,ant-strong_mut-absent,Antagonist,-0.671344523,1.983668543,2.990822124,-0.334341623,-0.617036645,-0.049376629,0.066962247,-0.675017391,Martinazo,12,16.5583638,0.956521739,90,1080,0,1191.771,12.776,2,0.167,0.268,1.000,1.130,1.000
ER074M-H,4.57,0,0,0,0,0,ant-strong_mut-absent,Antagonist,1.99949837,0.793557715,0.361179918,-0.874155109,0.225910233,-0.55350177,-0.137409921,0.714724296,Martinazo,138,10.7150064,0.690217391,45,6210,0.133,168.747,10.485,7,0.167,0.148,1.000,1.130,1.000
ER079H,0,0,0,0,0,0.18,ant-absent_mut-weak,Mutualist,-0.459372865,-0.333013574,0.361179918,-1.17405149,-0.722199608,-0.354277962,0.23029941,0.714724296,Martinazo,22,5.1836235,0.690217391,20,440,0.012,573.033,14.607,7,0.167,0.175,1.000,1.826,1.000
ER080H,1.85,0.24,2.83,0.2,0,0.5,ant-strong_mut-strong,Mutualist-Antagonist,-0.205006875,0.188459719,-0.050260692,-0.778188267,-0.498399677,0.002764851,0.604163991,-0.675017391,Martinazo,34,7.74401935,0.648550725,53,1802,0.479,1297.582,18.798,2,0.833,2.317,0.497,1.000,3.258
ER085H,1.25,0,0,0,0,0,ant-strong_mut-absent,Antagonist,1.851118209,2.760309851,0.361179918,-0.298354057,1.207376451,0.329394306,1.384988777,-0.952965729,Martinazo,131,20.371616,0.690217391,93,12183,0.09,1960.413,27.551,1,0.167,0.040,1.000,1.130,1.000
ER086H,1,0,0,0,0,0,ant-strong_mut-absent,Antagonist,1.787526712,2.237621846,-0.050260692,-0.166399649,1.392890491,0.237977324,-0.461051224,-0.675017391,Martinazo,128,17.805256,0.648550725,104,13312,0.54,1774.9,6.857,2,0.167,0.032,1.000,1.130,1.000
ER090H,0.06,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.155344944,-0.629326569,-0.050260692,-1.210039056,-0.652036194,0.858208681,2.572149323,-0.952965729,Martinazo,51,3.7287483,0.648550725,17,867,0,3033.539,40.859,1,0.167,0.002,1.000,1.130,1.000
