no,plant,deer,wildboar,rabbit,rat,fox,badger,deer_i,wildboar_i,rabbit_i,rat_i,fox_i,badger_i,antagonist,poor_mutual,mutualist,antagonist_i,poor_mutual_i,mutualist_i,Motifs,pop,x,y,del_area,nn,dens
30,EM155,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194069.5386,4113461.167,169.413315,8.065719425,8
31,EM160,0.028,0,0.083,0,0,0,Weak,Absent,Weak,Absent,Absent,Absent,0.028,0.083,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,194043.2628,4113455.545,15.128858,1.184308085,16
32,EM163,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194038.7871,4113448.563,121.298214,0.01,15
33,EM171,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194029.3372,4113470.601,146.92779,0.01,10
34,EM190,0,0.021,0.59,0.451,0,0,Absent,Weak,Strong,Strong,Absent,Absent,0.021,1.041,0,Weak,Strong,Absent,weak_mutual_weak_anta,Matasgordas,193943.3023,4113435.085,109.645464,5.666565292,4
35,EM193,0.104,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.104,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,193914.9896,4113416.934,1250.007751,9.773088118,2
36,EM199,0,0,0.056,0.174,0,0.028,Absent,Absent,Weak,Strong,Absent,Weak,0,0.23,0.028,Absent,Weak,Weak,weak_mutual,Matasgordas,193877.1673,4113508.098,403.888262,9.365399533,5
37,EM227,0.021,0,0.069,0,0,0,Weak,Absent,Weak,Absent,Absent,Absent,0.021,0.069,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,193741.5811,4113823.871,495.235435,10.20815174,2
38,EM234,0,0,0.09,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.09,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193755.0745,4113805.16,158.790369,4.661562403,5
39,EM236,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193756.2805,4113810.034,26.096995,3.01019937,5
40,EM240,0.208,0,0,0,0,0.438,Strong,Absent,Absent,Absent,Absent,Strong,0.208,0,0.438,Weak,Absent,Strong,strong_mutual_weak_anta,Matasgordas,193890.3122,4113792.495,1191.770572,12.77649812,2
41,EM270,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193671.7854,4113818.096,168.746998,10.48468966,7
